日期,daily risk free rate
2014-09-23,7.34210852928463e-05
2014-09-24,7.275413473117887e-05
2014-09-25,7.238057168468259e-05
2014-09-26,7.240725644397372e-05
2014-09-28,7.18735120093239e-05
2014-09-29,6.880246764384701e-05
2014-09-30,6.852189684414256e-05
2014-10-08,6.872230748178332e-05
2014-10-09,6.931810877230937e-05
2014-10-10,6.943030801087602e-05
2014-10-11,6.882918717820985e-05
2014-10-13,6.861542362757156e-05
2014-10-14,6.866886607448386e-05
2014-10-15,6.759981957271677e-05
2014-10-16,6.695819194768582e-05
2014-10-17,6.661058107559903e-05
2014-10-20,6.572798667470181e-05
2014-10-21,6.538022011004507e-05
2014-10-22,6.54872298953002e-05
2014-10-23,6.559423551300014e-05
2014-10-24,6.618804095159803e-05
2014-10-27,6.717743157214073e-05
2014-10-28,6.741269366017377e-05
2014-10-29,6.813439482011852e-05
2014-10-30,6.909636822993726e-05
2014-10-31,6.92299490130388e-05
2014-11-03,6.893606271685115e-05
2014-11-04,6.877574784969198e-05
2014-11-05,6.877574784969198e-05
2014-11-06,6.920323337600287e-05
2014-11-07,6.949709109660418e-05
2014-11-10,6.869558690802968e-05
2014-11-11,6.746615950725676e-05
2014-11-12,6.719881986727572e-05
2014-11-13,6.693145421121649e-05
2014-11-14,6.727902449066292e-05
2014-11-17,6.78938488303249e-05
2014-11-18,6.773347313626665e-05
2014-11-19,6.77602030687563e-05
2014-11-20,6.869558690802968e-05
2014-11-21,6.99511730346547e-05
2014-11-24,6.909636822993726e-05
2014-11-25,6.92299490130388e-05
2014-11-26,6.960394065758102e-05
2014-11-27,6.989775552534994e-05
2014-11-28,7.053869710249572e-05
2014-12-01,7.15532155701748e-05
2014-12-02,7.147313562572144e-05
2014-12-03,7.123288178667586e-05
2014-12-04,7.11794891914419e-05
2014-12-05,7.107270088813067e-05
2014-12-08,7.141974769941939e-05
2014-12-09,7.13930533471352e-05
2014-12-10,7.147313562572144e-05
2014-12-11,7.15532155701748e-05
2014-12-12,7.168667695767184e-05
2014-12-15,7.176675067843696e-05
2014-12-16,7.214039718794751e-05
2014-12-17,7.475450090188573e-05
2014-12-18,8.444231118787116e-05
2014-12-19,9.705966126682952e-05
2014-12-22,9.959733062037124e-05
2014-12-23,9.867241013616912e-05
2014-12-24,9.705966126682952e-05
2014-12-25,9.555181036269289e-05
2014-12-26,9.38842749831359e-05
2014-12-29,9.200377527451842e-05
2014-12-30,9.107629453586341e-05
2014-12-31,9.499607768082008e-05
2015-01-04,9.79586872438265e-05
2015-01-05,9.216274054058005e-05
2015-01-06,8.183741316214466e-05
2015-01-07,7.781890312053008e-05
2015-01-08,7.646032911456935e-05
2015-01-09,7.579411601654762e-05
2015-01-12,7.440787509382929e-05
2015-01-13,7.211370983672971e-05
2015-01-14,7.128627334451743e-05
2015-01-15,7.115279250480278e-05
2015-01-16,7.120618561895498e-05
2015-01-19,7.192689111912287e-05
2015-01-20,7.31810017415846e-05
2015-01-21,7.534099881745249e-05
2015-01-22,7.488780687681107e-05
2015-01-23,7.374116406344555e-05
2015-01-26,7.26740897827316e-05
2015-01-27,7.230051585205288e-05
2015-01-28,7.272745334074848e-05
2015-01-29,7.472783893081036e-05
2015-01-30,7.6007321784477e-05
2015-02-02,7.803195182720657e-05
2015-02-03,7.977300571404555e-05
2015-02-04,8.026796638471723e-05
2015-02-05,7.741939226191263e-05
2015-02-06,7.715301941191299e-05
2015-02-09,7.598067196834535e-05
2015-02-10,7.704646304040885e-05
2015-02-11,7.917680566760232e-05
2015-02-12,8.252874928937892e-05
2015-02-13,8.340596393341393e-05
2015-02-15,8.563761093904887e-05
2015-02-16,8.582349972718895e-05
2015-02-17,9.160632186655526e-05
2015-02-25,8.96977447604197e-05
2015-02-26,8.890211283496541e-05
2015-02-27,8.943255971805009e-05
2015-02-28,9.269255834420953e-05
2015-03-02,9.301039999254357e-05
2015-03-03,9.293094302753602e-05
2015-03-04,9.282499683282985e-05
2015-03-05,9.248064348255092e-05
2015-03-06,9.203027012438803e-05
2015-03-09,9.110279833102197e-05
2015-03-10,9.028106177377815e-05
2015-03-11,9.02015258368305e-05
